4chan bias,https://mediabiasfactcheck.com/4chan-bias/,VERY LOW
100 percent fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,LOW
24jours com,https://mediabiasfactcheck.com/24jours-com/,LOW
2020 conservative bias,https://mediabiasfactcheck.com/2020-conservative-bias/,VERY LOW
a voice for men,https://mediabiasfactcheck.com/a-voice-for-men/,LOW
abq times bias,https://mediabiasfactcheck.com/abq-times-bias/,MIXED
action news 3,https://mediabiasfactcheck.com/action-news-3/,VERY LOW
activist mommy,https://mediabiasfactcheck.com/activist-mommy/,LOW
ada reporter,https://mediabiasfactcheck.com/ada-reporter/,MIXED
adams county times,https://mediabiasfactcheck.com/adams-county-times/,MIXED
aguascalientes daily post bias,https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/,MIXED
akron reporter bias,https://mediabiasfactcheck.com/akron-reporter-bias/,MIXED
al arabiya,https://mediabiasfactcheck.com/al-arabiya/,MIXED
albany standard,https://mediabiasfactcheck.com/albany-standard/,MIXED
al bawaba,https://mediabiasfactcheck.com/al-bawaba/,MIXED
all news pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,LOW
alliance defending freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,LOW
al manar,https://mediabiasfactcheck.com/al-manar/,MIXED
aloha state news,https://mediabiasfactcheck.com/aloha-state-news/,MIXED
alpha news,https://mediabiasfactcheck.com/alpha-news/,LOW
alt right tv,https://mediabiasfactcheck.com/alt-right-tv/,LOW
al youm al sabea youm7 bias,https://mediabiasfactcheck.com/al-youm-al-sabea-youm7-bias/,MIXED
america first legal afl bias and credibility,https://mediabiasfactcheck.com/america-first-legal-afl-bias-and-credibility/,LOW
america first report bias,https://mediabiasfactcheck.com/america-first-report-bias/,LOW
america out loud,https://mediabiasfactcheck.com/america-out-loud/,LOW
american action news,https://mediabiasfactcheck.com/american-action-news/,MIXED
american catholic tribune bias,https://mediabiasfactcheck.com/american-catholic-tribune-bias/,MIXED
american college of pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,LOW
american conservative movement acm,https://mediabiasfactcheck.com/american-conservative-movement-acm/,LOW
american family association,https://mediabiasfactcheck.com/american-family-association/,LOW
onenewsnow,https://mediabiasfactcheck.com/onenewsnow/,LOW
american freedom fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,LOW
american gulag,https://mediabiasfactcheck.com/american-gulag/,VERY LOW
american liberty report,https://mediabiasfactcheck.com/american-liberty-report/,LOW
american lookout,https://mediabiasfactcheck.com/american-lookout/,LOW
american media periscope bias,https://mediabiasfactcheck.com/american-media-periscope-bias/,LOW
american partisan bias,https://mediabiasfactcheck.com/american-partisan-bias/,LOW
american patriot daily,https://mediabiasfactcheck.com/american-patriot-daily/,LOW
american people daily,https://mediabiasfactcheck.com/american-people-daily/,LOW
american pharmacy news bias,https://mediabiasfactcheck.com/american-pharmacy-news-bias/,MIXED
american principles project,https://mediabiasfactcheck.com/american-principles-project/,LOW
american renaissance magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,LOW
american security news bias,https://mediabiasfactcheck.com/american-security-news-bias/,MIXED
american society defense tradition family property,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,LOW
american thinker,https://mediabiasfactcheck.com/american-thinker/,LOW
