4chan bias,https://mediabiasfactcheck.com/4chan-bias/,VERY LOW
100 percent fed up,https://mediabiasfactcheck.com/100-percent-fed-up/,LOW
24jours com,https://mediabiasfactcheck.com/24jours-com/,LOW
2020 conservative bias,https://mediabiasfactcheck.com/2020-conservative-bias/,VERY LOW
a voice for men,https://mediabiasfactcheck.com/a-voice-for-men/,LOW
abq times bias,https://mediabiasfactcheck.com/abq-times-bias/,MIXED
action news 3,https://mediabiasfactcheck.com/action-news-3/,VERY LOW
activist mommy,https://mediabiasfactcheck.com/activist-mommy/,LOW
ada reporter,https://mediabiasfactcheck.com/ada-reporter/,MIXED
adams county times,https://mediabiasfactcheck.com/adams-county-times/,MIXED
aguascalientes daily post bias,https://mediabiasfactcheck.com/aguascalientes-daily-post-bias/,MIXED
akron reporter bias,https://mediabiasfactcheck.com/akron-reporter-bias/,MIXED
al arabiya,https://mediabiasfactcheck.com/al-arabiya/,MIXED
albany standard,https://mediabiasfactcheck.com/albany-standard/,MIXED
al bawaba,https://mediabiasfactcheck.com/al-bawaba/,MIXED
all news pipeline,https://mediabiasfactcheck.com/all-news-pipeline/,LOW
alliance defending freedom,https://mediabiasfactcheck.com/alliance-defending-freedom/,LOW
al manar,https://mediabiasfactcheck.com/al-manar/,MIXED
aloha state news,https://mediabiasfactcheck.com/aloha-state-news/,MIXED
alpha news,https://mediabiasfactcheck.com/alpha-news/,LOW
alt right tv,https://mediabiasfactcheck.com/alt-right-tv/,LOW
al youm al sabea youm7 bias,https://mediabiasfactcheck.com/al-youm-al-sabea-youm7-bias/,MIXED
america first legal afl bias and credibility,https://mediabiasfactcheck.com/america-first-legal-afl-bias-and-credibility/,LOW
america first report bias,https://mediabiasfactcheck.com/america-first-report-bias/,LOW
america out loud,https://mediabiasfactcheck.com/america-out-loud/,LOW
american action news,https://mediabiasfactcheck.com/american-action-news/,MIXED
american catholic tribune bias,https://mediabiasfactcheck.com/american-catholic-tribune-bias/,MIXED
american college of pediatricians,https://mediabiasfactcheck.com/american-college-of-pediatricians/,LOW
american conservative movement acm,https://mediabiasfactcheck.com/american-conservative-movement-acm/,LOW
american family association,https://mediabiasfactcheck.com/american-family-association/,LOW
onenewsnow,https://mediabiasfactcheck.com/onenewsnow/,LOW
american freedom fighters,https://mediabiasfactcheck.com/american-freedom-fighters/,LOW
american gulag,https://mediabiasfactcheck.com/american-gulag/,VERY LOW
american liberty report,https://mediabiasfactcheck.com/american-liberty-report/,LOW
american lookout,https://mediabiasfactcheck.com/american-lookout/,LOW
american media periscope bias,https://mediabiasfactcheck.com/american-media-periscope-bias/,LOW
american partisan bias,https://mediabiasfactcheck.com/american-partisan-bias/,LOW
american patriot daily,https://mediabiasfactcheck.com/american-patriot-daily/,LOW
american people daily,https://mediabiasfactcheck.com/american-people-daily/,LOW
american pharmacy news bias,https://mediabiasfactcheck.com/american-pharmacy-news-bias/,MIXED
american principles project,https://mediabiasfactcheck.com/american-principles-project/,LOW
american renaissance magazine,https://mediabiasfactcheck.com/american-renaissance-magazine/,LOW
american security news bias,https://mediabiasfactcheck.com/american-security-news-bias/,MIXED
american society defense tradition family property,https://mediabiasfactcheck.com/american-society-defense-tradition-family-property/,LOW
american thinker,https://mediabiasfactcheck.com/american-thinker/,LOW
american web media awm,https://mediabiasfactcheck.com/american-web-media-awm/,MIXED
americas news source,https://mediabiasfactcheck.com/americas-news-source/,VERY LOW
amerika bias,https://mediabiasfactcheck.com/amerika-bias/,LOW
ames today bias,https://mediabiasfactcheck.com/ames-today-bias/,MIXED
amic ru bias,https://mediabiasfactcheck.com/amic-ru-bias/,MIXED
amoskeag times bias,https://mediabiasfactcheck.com/amoskeag-times-bias/,MIXED
analyzing america,https://mediabiasfactcheck.com/analyzing-america/,MIXED
anderson reporter,https://mediabiasfactcheck.com/anderson-reporter/,MIXED
ann arbor times bias,https://mediabiasfactcheck.com/ann-arbor-times-bias/,MIXED
anne arundel today bias,https://mediabiasfactcheck.com/anne-arundel-today-bias/,MIXED
anoka times bias,https://mediabiasfactcheck.com/anoka-times-bias/,MIXED
anonymous wire bias,https://mediabiasfactcheck.com/anonymous-wire-bias/,LOW
antelope valley today,https://mediabiasfactcheck.com/antelope-valley-today/,MIXED
anti war,https://mediabiasfactcheck.com/anti-war/,MIXED
arab news,https://mediabiasfactcheck.com/arab-news/,MIXED
archaeology world,https://mediabiasfactcheck.com/archaeology-world/,MIXED
the arizona independent bias,https://mediabiasfactcheck.com/the-arizona-independent-bias/,MIXED
arizona sun times bias,https://mediabiasfactcheck.com/arizona-sun-times-bias/,MIXED
armed forces press bias,https://mediabiasfactcheck.com/armed-forces-press-bias/,LOW
aroostook news bias,https://mediabiasfactcheck.com/aroostook-news-bias/,MIXED
%d0%b0%d0%b3%d1%80%d0%b5%d0%b3%d0%b0%d1%82%d0%be%d1%80 24%d1%81%d0%bc%d0%b8 bias,https://mediabiasfactcheck.com/%d0%b0%d0%b3%d1%80%d0%b5%d0%b3%d0%b0%d1%82%d0%be%d1%80-24%d1%81%d0%bc%d0%b8-bias/,LOW
asheville reporter bias,https://mediabiasfactcheck.com/asheville-reporter-bias/,MIXED
association of american physicians and surgeons aaps,https://mediabiasfactcheck.com/association-of-american-physicians-and-surgeons-aaps/,LOW
athens reporter,https://mediabiasfactcheck.com/athens-reporter/,MIXED
atlantic county times bias,https://mediabiasfactcheck.com/atlantic-county-times-bias/,MIXED
atl standard,https://mediabiasfactcheck.com/atl-standard/,MIXED
auburn times,https://mediabiasfactcheck.com/auburn-times/,MIXED
augusta richmond herald bias,https://mediabiasfactcheck.com/augusta-richmond-herald-bias/,MIXED
baja california post bias,https://mediabiasfactcheck.com/baja-california-post-bias/,MIXED
baldwin times,https://mediabiasfactcheck.com/baldwin-times/,MIXED
baltimore city wire bias,https://mediabiasfactcheck.com/baltimore-city-wire-bias/,MIXED
